root_stream_begin,day=1,own_count=236,opponent_count=65,begin=118,end=236
root_stream_action,day=1,index=167,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=34@23,plan=1.2.2.3.3.0.5.4,states=30740601,transitions=69915167047
root_stream_action,day=1,index=168,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=34@24,plan=1.2.2.3.3.5.5.-4,states=30794043,transitions=70085291098
root_stream_action,day=1,index=169,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=34@22,plan=1.2.2.3.4.2.5.5.-3,states=30797606,transitions=70108456864
root_stream_action,day=1,index=170,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=34@19,plan=1.2.2.3.4.1.4.2.5.5,states=30806081,transitions=70151494424
root_stream_action,day=1,index=171,robust=5/19/22,slice_best=5/20/22,improves=0,terminal=34@23,plan=1.2.2.2.4.3.5.5.-2,states=30808317,transitions=70164065618
root_stream_action,day=1,index=172,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=34@21,plan=1.2.2.2.4.4.2.5.5.-1,states=30817667,transitions=70196368698
root_stream_action,day=1,index=173,robust=5/19/19,slice_best=5/20/22,improves=0,terminal=34@21,plan=3.2.2.1.0.3.3.5.5.-1,states=30826053,transitions=70225983443
root_stream_action,day=1,index=174,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=34@19,plan=3.2.2.1.0.3.4.2.5.5,states=30829567,transitions=70250578520
root_stream_action,day=1,index=175,robust=5/20/21,slice_best=5/20/22,improves=0,terminal=34@22,plan=1.2.2.3.3.5.5.5.2,states=30832671,transitions=70262788547
root_stream_action,day=1,index=176,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@26,plan=1.2.3.4.2.-6,states=32192395,transitions=72041036210
root_stream_action,day=1,index=177,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@26,plan=3.2.1.2.4.-6,states=32253988,transitions=72288064285
root_stream_action,day=1,index=178,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@29,plan=3.2.2.-11,states=32342866,transitions=72659332773
root_stream_action,day=1,index=179,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=1.2.5.4.3.2.2.-3,states=32403953,transitions=72960842223
root_stream_action,day=1,index=180,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=1.4.3.2.1.3.-4,states=32407959,transitions=72981541558
root_stream_action,day=1,index=181,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@27,plan=1.4.3.2.2.-7,states=32427979,transitions=73084629630
root_stream_action,day=1,index=182,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@25,plan=1.2.3.2.3.5.-4,states=33027716,transitions=74234303960
root_stream_action,day=1,index=183,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@24,plan=1.2.3.3.2.5.-5,states=33193978,transitions=74629781174
root_stream_action,day=1,index=184,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=35@23,plan=1.2.3.4.2.2.5.-3,states=33263737,transitions=74854407032
root_stream_action,day=1,index=185,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=3.2.1.2.3.5.-4,states=33283851,transitions=74953597792
root_stream_action,day=1,index=186,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.2.1.3.2.5.-5,states=33295317,transitions=75009720469
root_stream_action,day=1,index=187,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@26,plan=3.2.2.2.5.-8,states=33301120,transitions=75037741282
root_stream_action,day=1,index=188,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@22,plan=1.4.3.2.1.3.2.5.-1,states=33316508,transitions=75111391927
root_stream_action,day=1,index=189,robust=5/19/19,slice_best=5/20/22,improves=0,terminal=35@23,plan=1.4.3.2.2.1.3.5.-2,states=33319922,transitions=75131508571
root_stream_action,day=1,index=190,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=35@24,plan=1.4.3.2.2.2.5.-4,states=33322657,transitions=75146642449
root_stream_action,day=1,index=191,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@26,plan=1.2.2.4.3.-6,states=33367332,transitions=75300651326
root_stream_action,day=1,index=192,robust=5/17/18,slice_best=5/20/22,improves=0,terminal=35@27,plan=1.2.2.3.4.-7,states=33448899,transitions=75562693115
root_stream_action,day=1,index=193,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=35@23,plan=1.2.2.4.4.1.3.-1,states=33463508,transitions=75649934071
root_stream_action,day=1,index=194,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=1.2.2.4.4.2.-4,states=33484941,transitions=75748644840
root_stream_action,day=1,index=195,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@24,plan=1.2.2.3.4.5.2.-4,states=33495363,transitions=75804038521
root_stream_action,day=1,index=196,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=3.0.1.2.2.3.4.-3,states=33569368,transitions=76155382708
root_stream_action,day=1,index=197,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=35@23,plan=3.2.1.0.2.4.3.-1,states=33585315,transitions=76250343704
root_stream_action,day=1,index=198,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.2.1.1.4.3.-3,states=33601230,transitions=76327241914
root_stream_action,day=1,index=199,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@25,plan=3.2.1.1.3.4.-4,states=33613130,transitions=76386904127
root_stream_action,day=1,index=200,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.2.2.1.0.3.4.-4,states=33614799,transitions=76395247020
root_stream_action,day=1,index=201,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.2.1.1.2.4.4.-2,states=33620441,transitions=76428846051
root_stream_action,day=1,index=202,robust=5/19/19,slice_best=5/20/22,improves=0,terminal=35@23,plan=3.2.2.1.0.2.4.4.-2,states=33624361,transitions=76449451960
root_stream_action,day=1,index=203,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@24,plan=1.2.2.4.2.3.5.-2,states=33635630,transitions=76502181029
root_stream_action,day=1,index=204,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=35@23,plan=1.2.2.4.3.2.5.-3,states=33658407,transitions=76551544334
root_stream_action,day=1,index=205,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@26,plan=1.2.2.3.3.5.-5,states=33675812,transitions=76624818613
root_stream_action,day=1,index=206,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=35@25,plan=1.2.2.2.4.3.5.-3,states=33685126,transitions=76687433012
root_stream_action,day=1,index=207,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=35@22,plan=1.2.2.4.4.2.2.5.-1,states=33691239,transitions=76713251338
