"split","match","path","sha256","fuel_limit","role_mask","terminal_patrol_min_fuel","terminal_patrol_max_fuel","constrained_patrols","states","accepted","length"
"holdout","m-0795","artifacts/btc/m-0795.jsonl","949D04CC969FA7217262F0CA0583F6CD3ECDC0D04B4CC064DA5A00AB49257A0C","200","16","153","200","6","10","10","863361"
"holdout","m-0814","artifacts/btc/m-0814.jsonl","290A28B1A87B54DF68F5C12B5032CF36C4F9A38D65D4C8C2105CA8DB56B5927A","200","128","148","187","7","10","10","890037"
"holdout","m-0850","artifacts/btc/m-0850.jsonl","91318FF274F407BA8971726AD3E28067F5F62A6F2473A42A7B8563465F48C446","200","128","139","172","7","10","10","862043"
"holdout","m-0852","artifacts/btc/m-0852.jsonl","C9C4C503FFD8739776B9404DF77FEA524A253E732545213936756A9F2E85452B","200","64","93","200","5","10","10","891361"
"holdout","m-0853","artifacts/btc/m-0853.jsonl","72A5E3C854B04C88562B35F0BCD0309532F4F01B2554C8E9C95C2AB3BBD972E7","200","64","141","200","5","10","10","870557"
"holdout","m-0854","artifacts/btc/m-0854.jsonl","4C447543258C607D2FF8B0C7C060BA0379C3AF4A9071B17A307BF59D3EDEF2F8","200","32","147","200","4","10","10","873378"
"holdout","m-0859","artifacts/btc/m-0859.jsonl","542FBEA25F80E02D4F5FF60BFA5EABB86A9F0F9559A65E9A4F9335B1107D2970","200","128","151","200","5","10","10","867395"
"holdout","m-0860","artifacts/btc/m-0860.jsonl","F40CA26882704F1E40E7E59EEF643CBC1014B48A18062E7911C475FDA69D4B19","200","2","141","188","7","10","10","866781"
"holdout","m-0861","artifacts/btc/m-0861-depth3-server.jsonl","FA539B301F90A8E891BF1EA151B7CBD6BC2B23EDB279F40B684FAE6F8A29CC19","200","128","5","162","7","10","10","878569"
"holdout","m-0862","artifacts/btc/m-0862-depth3-lowfuel-server.jsonl","FAD21B96293F68ECDD31057C7063E7187A3620CED21E8D894CDE2FAC1573D65D","100","32","0","100","7","10","10","797954"
"holdout","m-0863","artifacts/btc/m-0863-depth3-highfuel-server.jsonl","E0476C2F38ABDC84D832DC7EE9ECA63E64CC301D0348BE4020BCAF14E459637B","300","128","224","287","0","10","10","885964"
"holdout","m-0864","artifacts/btc/m-0864-rolelex-default-server.jsonl","516EAAD03B4676B300876969FCE8CD0E6B3B2F67DA62B0502D00D573F69CD470","200","1","154","200","4","10","10","876642"
"holdout","m-0865","artifacts/btc/m-0865-rolelex-lowfuel-server.jsonl","10CDBD828D49C9C26916AA2860920410228A1CFAEA8200EFED4B7E54267ED859","100","64","0","100","7","10","10","799129"
"holdout","m-0877","artifacts/btc/m-0877-syncmask-lowfuel-server.jsonl","6A8FAEA565B5EE6BA547C71B5BEF0DE11020A090BF018E5C054F1D50B3AA3C6B","100","64","3","100","7","10","10","817786"
"holdout","m-0878","artifacts/btc/m-0878-syncmask-vector-lowfuel-server.jsonl","770CD834A79B40068823B1DE297EEBD9CDD7A624B7970006732E94AD4AF5040F","100","4","0","100","7","10","10","806777"
